Source Name	Characteristics [Organism]	Term Source 1 REF	Term Source 1 Accession	Characteristics [Cell Line]	Term Source 2 REF	Term Source 2 Accession	Protocol REF	Protocol REF	Protocol REF	Assay Name	Experimental Condition [ # fill in]	Comment [Gene Identifier]	Comment [Gene Symbol]	Comment [Gene Annotation Comments]	Dataset Name	Image File	Comment [Image File Path]	Comment [Image File Comments]	Comment [Image File Type]	Channels	Protocol REF	Processed Data File
RNA-SPLIT CIZ1 KO NPCs	mus musculus 			XX mouse CIZ1 KO NPCs	na		TC NPC differentiation protocol	RNA-SPLIT to assess transcription dynamics (t10)	3D SIM OMX V3	RNA-SPLIT	Bgl-stem-loop labeling of Xist RNA with BglG-Halo	MGP_129S1SvImJ_G0007554; MGP_129S1SvImJ_G0025603	Xist; Ciz1		RNA-SPLIT CIZ1 KO NPCs	20200205_nascent_Xist_dynamics_CIZ1KO_NPC_10min_06_FUS_SIR_THR_MCF_ALN-full.tif			"fused, reconstructed, thresholded, filtered, aligned"	"405: DAPI signal, 488: RNA-SPLIT signal (first HaloTag labelling round), 594: RNA-SPLIT signal (second HaloTag labelling round)"		
RNA-SPLIT CIZ1 KO NPCs	mus musculus 			XX mouse CIZ1 KO NPCs	na		TC NPC differentiation protocol	RNA-SPLIT to assess transcription dynamics (t10)	3D SIM OMX V3	RNA-SPLIT	Bgl-stem-loop labeling of Xist RNA with BglG-Halo	MGP_129S1SvImJ_G0007554; MGP_129S1SvImJ_G0025603	Xist; Ciz1		RNA-SPLIT CIZ1 KO NPCs	20200205_nascent_Xist_dynamics_CIZ1KO_NPC_10min_07_FUS.dv			"raw, fused"	"405: DAPI signal, 488: RNA-SPLIT signal (first HaloTag labelling round), 594: RNA-SPLIT signal (second HaloTag labelling round)"		
RNA-SPLIT CIZ1 KO NPCs	mus musculus 			XX mouse CIZ1 KO NPCs	na		TC NPC differentiation protocol	RNA-SPLIT to assess transcription dynamics (t10)	3D SIM OMX V3	RNA-SPLIT	Bgl-stem-loop labeling of Xist RNA with BglG-Halo	MGP_129S1SvImJ_G0007554; MGP_129S1SvImJ_G0025603	Xist; Ciz1		RNA-SPLIT CIZ1 KO NPCs	20200205_nascent_Xist_dynamics_CIZ1KO_NPC_10min_07_FUS_SIR_THR_MCF_ALN-full.tif			"fused, reconstructed, thresholded, filtered, aligned"	"405: DAPI signal, 488: RNA-SPLIT signal (first HaloTag labelling round), 594: RNA-SPLIT signal (second HaloTag labelling round)"		
RNA-SPLIT CIZ1 KO NPCs	mus musculus 			XX mouse CIZ1 KO NPCs	na		TC NPC differentiation protocol	RNA-SPLIT to assess transcription dynamics (t10)	3D SIM OMX V3	RNA-SPLIT	Bgl-stem-loop labeling of Xist RNA with BglG-Halo	MGP_129S1SvImJ_G0007554; MGP_129S1SvImJ_G0025603	Xist; Ciz1		RNA-SPLIT CIZ1 KO NPCs	20200205_nascent_Xist_dynamics_CIZ1KO_NPC_10min_08_FUS.dv			"raw, fused"	"405: DAPI signal, 488: RNA-SPLIT signal (first HaloTag labelling round), 594: RNA-SPLIT signal (second HaloTag labelling round)"		
RNA-SPLIT CIZ1 KO NPCs	mus musculus 			XX mouse CIZ1 KO NPCs	na		TC NPC differentiation protocol	RNA-SPLIT to assess transcription dynamics (t10)	3D SIM OMX V3	RNA-SPLIT	Bgl-stem-loop labeling of Xist RNA with BglG-Halo	MGP_129S1SvImJ_G0007554; MGP_129S1SvImJ_G0025603	Xist; Ciz1		RNA-SPLIT CIZ1 KO NPCs	20200205_nascent_Xist_dynamics_CIZ1KO_NPC_10min_08_FUS_SIR_THR_MCF_ALN-full.tif			"fused, reconstructed, thresholded, filtered, aligned"	"405: DAPI signal, 488: RNA-SPLIT signal (first HaloTag labelling round), 594: RNA-SPLIT signal (second HaloTag labelling round)"		
RNA-SPLIT CIZ1 KO NPCs	mus musculus 			XX mouse CIZ1 KO NPCs	na		TC NPC differentiation protocol	RNA-SPLIT to assess transcription dynamics (t10)	3D SIM OMX V3	RNA-SPLIT	Bgl-stem-loop labeling of Xist RNA with BglG-Halo	MGP_129S1SvImJ_G0007554; MGP_129S1SvImJ_G0025603	Xist; Ciz1		RNA-SPLIT CIZ1 KO NPCs	20200205_nascent_Xist_dynamics_CIZ1KO_NPC_10min_09_FUS.dv			"raw, fused"	"405: DAPI signal, 488: RNA-SPLIT signal (first HaloTag labelling round), 594: RNA-SPLIT signal (second HaloTag labelling round)"		
RNA-SPLIT CIZ1 KO NPCs	mus musculus 			XX mouse CIZ1 KO NPCs	na		TC NPC differentiation protocol	RNA-SPLIT to assess transcription dynamics (t10)	3D SIM OMX V3	RNA-SPLIT	Bgl-stem-loop labeling of Xist RNA with BglG-Halo	MGP_129S1SvImJ_G0007554; MGP_129S1SvImJ_G0025603	Xist; Ciz1		RNA-SPLIT CIZ1 KO NPCs	20200205_nascent_Xist_dynamics_CIZ1KO_NPC_10min_09_FUS_SIR_THR_MCF_ALN-full.tif			"fused, reconstructed, thresholded, filtered, aligned"	"405: DAPI signal, 488: RNA-SPLIT signal (first HaloTag labelling round), 594: RNA-SPLIT signal (second HaloTag labelling round)"		
RNA-SPLIT CIZ1 KO NPCs	mus musculus 			XX mouse CIZ1 KO NPCs	na		TC NPC differentiation protocol	RNA-SPLIT to assess transcription dynamics (t10)	3D SIM OMX V3	RNA-SPLIT	Bgl-stem-loop labeling of Xist RNA with BglG-Halo	MGP_129S1SvImJ_G0007554; MGP_129S1SvImJ_G0025603	Xist; Ciz1		RNA-SPLIT CIZ1 KO NPCs	20200205_nascent_Xist_dynamics_CIZ1KO_NPC_10min_10_FUS.dv			"raw, fused"	"405: DAPI signal, 488: RNA-SPLIT signal (first HaloTag labelling round), 594: RNA-SPLIT signal (second HaloTag labelling round)"		
RNA-SPLIT CIZ1 KO NPCs	mus musculus 			XX mouse CIZ1 KO NPCs	na		TC NPC differentiation protocol	RNA-SPLIT to assess transcription dynamics (t10)	3D SIM OMX V3	RNA-SPLIT	Bgl-stem-loop labeling of Xist RNA with BglG-Halo	MGP_129S1SvImJ_G0007554; MGP_129S1SvImJ_G0025603	Xist; Ciz1		RNA-SPLIT CIZ1 KO NPCs	20200205_nascent_Xist_dynamics_CIZ1KO_NPC_10min_10_FUS_SIR_THR_MCF_ALN-full.tif			"fused, reconstructed, thresholded, filtered, aligned"	"405: DAPI signal, 488: RNA-SPLIT signal (first HaloTag labelling round), 594: RNA-SPLIT signal (second HaloTag labelling round)"		
RNA-SPLIT CIZ1 KO NPCs	mus musculus 			XX mouse CIZ1 KO NPCs	na		TC NPC differentiation protocol	RNA-SPLIT to assess transcription dynamics (t10)	3D SIM OMX V3	RNA-SPLIT	Bgl-stem-loop labeling of Xist RNA with BglG-Halo	MGP_129S1SvImJ_G0007554; MGP_129S1SvImJ_G0025603	Xist; Ciz1		RNA-SPLIT CIZ1 KO NPCs	20200205_nascent_Xist_dynamics_CIZ1KO_NPC_10min_11_FUS.dv			"raw, fused"	"405: DAPI signal, 488: RNA-SPLIT signal (first HaloTag labelling round), 594: RNA-SPLIT signal (second HaloTag labelling round)"		
RNA-SPLIT CIZ1 KO NPCs	mus musculus 			XX mouse CIZ1 KO NPCs	na		TC NPC differentiation protocol	RNA-SPLIT to assess transcription dynamics (t10)	3D SIM OMX V3	RNA-SPLIT	Bgl-stem-loop labeling of Xist RNA with BglG-Halo	MGP_129S1SvImJ_G0007554; MGP_129S1SvImJ_G0025603	Xist; Ciz1		RNA-SPLIT CIZ1 KO NPCs	20200205_nascent_Xist_dynamics_CIZ1KO_NPC_10min_11_FUS_SIR_THR_MCF_ALN-full.tif			"fused, reconstructed, thresholded, filtered, aligned"	"405: DAPI signal, 488: RNA-SPLIT signal (first HaloTag labelling round), 594: RNA-SPLIT signal (second HaloTag labelling round)"		
RNA-SPLIT CIZ1 KO NPCs	mus musculus 			XX mouse CIZ1 KO NPCs	na		TC NPC differentiation protocol	RNA-SPLIT to assess transcription dynamics (t10)	3D SIM OMX V3	RNA-SPLIT	Bgl-stem-loop labeling of Xist RNA with BglG-Halo	MGP_129S1SvImJ_G0007554; MGP_129S1SvImJ_G0025603	Xist; Ciz1		RNA-SPLIT CIZ1 KO NPCs	20200205_nascent_Xist_dynamics_CIZ1KO_NPC_10min_12_FUS.dv			"raw, fused"	"405: DAPI signal, 488: RNA-SPLIT signal (first HaloTag labelling round), 594: RNA-SPLIT signal (second HaloTag labelling round)"		
RNA-SPLIT CIZ1 KO NPCs	mus musculus 			XX mouse CIZ1 KO NPCs	na		TC NPC differentiation protocol	RNA-SPLIT to assess transcription dynamics (t10)	3D SIM OMX V3	RNA-SPLIT	Bgl-stem-loop labeling of Xist RNA with BglG-Halo	MGP_129S1SvImJ_G0007554; MGP_129S1SvImJ_G0025603	Xist; Ciz1		RNA-SPLIT CIZ1 KO NPCs	20200205_nascent_Xist_dynamics_CIZ1KO_NPC_10min_12_FUS_SIR_THR_MCF_ALN-full.tif			"fused, reconstructed, thresholded, filtered, aligned"	"405: DAPI signal, 488: RNA-SPLIT signal (first HaloTag labelling round), 594: RNA-SPLIT signal (second HaloTag labelling round)"		
RNA-SPLIT CIZ1 KO NPCs	mus musculus 			XX mouse CIZ1 KO NPCs	na		TC NPC differentiation protocol	RNA-SPLIT to assess transcription dynamics (t10)	3D SIM OMX V3	RNA-SPLIT	Bgl-stem-loop labeling of Xist RNA with BglG-Halo	MGP_129S1SvImJ_G0007554; MGP_129S1SvImJ_G0025603	Xist; Ciz1		RNA-SPLIT CIZ1 KO NPCs	20200205_nascent_Xist_dynamics_CIZ1KO_NPC_10min_13_FUS.dv			"raw, fused"	"405: DAPI signal, 488: RNA-SPLIT signal (first HaloTag labelling round), 594: RNA-SPLIT signal (second HaloTag labelling round)"		
RNA-SPLIT CIZ1 KO NPCs	mus musculus 			XX mouse CIZ1 KO NPCs	na		TC NPC differentiation protocol	RNA-SPLIT to assess transcription dynamics (t10)	3D SIM OMX V3	RNA-SPLIT	Bgl-stem-loop labeling of Xist RNA with BglG-Halo	MGP_129S1SvImJ_G0007554; MGP_129S1SvImJ_G0025603	Xist; Ciz1		RNA-SPLIT CIZ1 KO NPCs	20200205_nascent_Xist_dynamics_CIZ1KO_NPC_10min_13_FUS_SIR_THR_MCF_ALN-full.tif			"fused, reconstructed, thresholded, filtered, aligned"	"405: DAPI signal, 488: RNA-SPLIT signal (first HaloTag labelling round), 594: RNA-SPLIT signal (second HaloTag labelling round)"		
RNA-SPLIT CIZ1 KO NPCs	mus musculus 			XX mouse CIZ1 KO NPCs	na		TC NPC differentiation protocol	RNA-SPLIT to assess transcription dynamics (t10)	3D SIM OMX V3	RNA-SPLIT	Bgl-stem-loop labeling of Xist RNA with BglG-Halo	MGP_129S1SvImJ_G0007554; MGP_129S1SvImJ_G0025603	Xist; Ciz1		RNA-SPLIT CIZ1 KO NPCs	20200205_nascent_Xist_dynamics_CIZ1KO_NPC_10min_14_FUS.dv			"raw, fused"	"405: DAPI signal, 488: RNA-SPLIT signal (first HaloTag labelling round), 594: RNA-SPLIT signal (second HaloTag labelling round)"		
RNA-SPLIT CIZ1 KO NPCs	mus musculus 			XX mouse CIZ1 KO NPCs	na		TC NPC differentiation protocol	RNA-SPLIT to assess transcription dynamics (t10)	3D SIM OMX V3	RNA-SPLIT	Bgl-stem-loop labeling of Xist RNA with BglG-Halo	MGP_129S1SvImJ_G0007554; MGP_129S1SvImJ_G0025603	Xist; Ciz1		RNA-SPLIT CIZ1 KO NPCs	20200205_nascent_Xist_dynamics_CIZ1KO_NPC_10min_14_FUS_SIR_THR_MCF_ALN-full.tif			"fused, reconstructed, thresholded, filtered, aligned"	"405: DAPI signal, 488: RNA-SPLIT signal (first HaloTag labelling round), 594: RNA-SPLIT signal (second HaloTag labelling round)"		
RNA-SPLIT CIZ1 KO NPCs	mus musculus 			XX mouse CIZ1 KO NPCs	na		TC NPC differentiation protocol	RNA-SPLIT to assess transcription dynamics (t10)	3D SIM OMX V3	RNA-SPLIT	Bgl-stem-loop labeling of Xist RNA with BglG-Halo	MGP_129S1SvImJ_G0007554; MGP_129S1SvImJ_G0025603	Xist; Ciz1		RNA-SPLIT CIZ1 KO NPCs	20200205_nascent_Xist_dynamics_CIZ1KO_NPC_10min_15_FUS.dv			"raw, fused"	"405: DAPI signal, 488: RNA-SPLIT signal (first HaloTag labelling round), 594: RNA-SPLIT signal (second HaloTag labelling round)"		
RNA-SPLIT CIZ1 KO NPCs	mus musculus 			XX mouse CIZ1 KO NPCs	na		TC NPC differentiation protocol	RNA-SPLIT to assess transcription dynamics (t10)	3D SIM OMX V3	RNA-SPLIT	Bgl-stem-loop labeling of Xist RNA with BglG-Halo	MGP_129S1SvImJ_G0007554; MGP_129S1SvImJ_G0025603	Xist; Ciz1		RNA-SPLIT CIZ1 KO NPCs	20200205_nascent_Xist_dynamics_CIZ1KO_NPC_10min_15_FUS_SIR_THR_MCF_ALN-full.tif			"fused, reconstructed, thresholded, filtered, aligned"	"405: DAPI signal, 488: RNA-SPLIT signal (first HaloTag labelling round), 594: RNA-SPLIT signal (second HaloTag labelling round)"		
RNA-SPLIT CIZ1 KO NPCs	mus musculus 			XX mouse CIZ1 KO NPCs	na		TC NPC differentiation protocol	RNA-SPLIT to assess transcription dynamics (t20)	3D SIM OMX V3	RNA-SPLIT	Bgl-stem-loop labeling of Xist RNA with BglG-Halo	MGP_129S1SvImJ_G0007554; MGP_129S1SvImJ_G0025603	Xist; Ciz1		RNA-SPLIT CIZ1 KO NPCs	20200204_nascent_Xist_dynamics_CIZ1KO_NPC_20min_01_FUS.dv			"raw, fused"	"405: DAPI signal, 488: RNA-SPLIT signal (first HaloTag labelling round), 594: RNA-SPLIT signal (second HaloTag labelling round)"		
RNA-SPLIT CIZ1 KO NPCs	mus musculus 			XX mouse CIZ1 KO NPCs	na		TC NPC differentiation protocol	RNA-SPLIT to assess transcription dynamics (t20)	3D SIM OMX V3	RNA-SPLIT	Bgl-stem-loop labeling of Xist RNA with BglG-Halo	MGP_129S1SvImJ_G0007554; MGP_129S1SvImJ_G0025603	Xist; Ciz1		RNA-SPLIT CIZ1 KO NPCs	20200204_nascent_Xist_dynamics_CIZ1KO_NPC_20min_01_FUS_SIR_THR_MCF_ALN-full.tif			"fused, reconstructed, thresholded, filtered, aligned"	"405: DAPI signal, 488: RNA-SPLIT signal (first HaloTag labelling round), 594: RNA-SPLIT signal (second HaloTag labelling round)"		
RNA-SPLIT CIZ1 KO NPCs	mus musculus 			XX mouse CIZ1 KO NPCs	na		TC NPC differentiation protocol	RNA-SPLIT to assess transcription dynamics (t20)	3D SIM OMX V3	RNA-SPLIT	Bgl-stem-loop labeling of Xist RNA with BglG-Halo	MGP_129S1SvImJ_G0007554; MGP_129S1SvImJ_G0025603	Xist; Ciz1		RNA-SPLIT CIZ1 KO NPCs	20200204_nascent_Xist_dynamics_CIZ1KO_NPC_20min_02_FUS.dv			"raw, fused"	"405: DAPI signal, 488: RNA-SPLIT signal (first HaloTag labelling round), 594: RNA-SPLIT signal (second HaloTag labelling round)"		
RNA-SPLIT CIZ1 KO NPCs	mus musculus 			XX mouse CIZ1 KO NPCs	na		TC NPC differentiation protocol	RNA-SPLIT to assess transcription dynamics (t20)	3D SIM OMX V3	RNA-SPLIT	Bgl-stem-loop labeling of Xist RNA with BglG-Halo	MGP_129S1SvImJ_G0007554; MGP_129S1SvImJ_G0025603	Xist; Ciz1		RNA-SPLIT CIZ1 KO NPCs	20200204_nascent_Xist_dynamics_CIZ1KO_NPC_20min_02_FUS_SIR_THR_MCF_ALN-full.tif			"fused, reconstructed, thresholded, filtered, aligned"	"405: DAPI signal, 488: RNA-SPLIT signal (first HaloTag labelling round), 594: RNA-SPLIT signal (second HaloTag labelling round)"		
RNA-SPLIT CIZ1 KO NPCs	mus musculus 			XX mouse CIZ1 KO NPCs	na		TC NPC differentiation protocol	RNA-SPLIT to assess transcription dynamics (t20)	3D SIM OMX V3	RNA-SPLIT	Bgl-stem-loop labeling of Xist RNA with BglG-Halo	MGP_129S1SvImJ_G0007554; MGP_129S1SvImJ_G0025603	Xist; Ciz1		RNA-SPLIT CIZ1 KO NPCs	20200204_nascent_Xist_dynamics_CIZ1KO_NPC_20min_03_FUS.dv			"raw, fused"	"405: DAPI signal, 488: RNA-SPLIT signal (first HaloTag labelling round), 594: RNA-SPLIT signal (second HaloTag labelling round)"		
RNA-SPLIT CIZ1 KO NPCs	mus musculus 			XX mouse CIZ1 KO NPCs	na		TC NPC differentiation protocol	RNA-SPLIT to assess transcription dynamics (t20)	3D SIM OMX V3	RNA-SPLIT	Bgl-stem-loop labeling of Xist RNA with BglG-Halo	MGP_129S1SvImJ_G0007554; MGP_129S1SvImJ_G0025603	Xist; Ciz1		RNA-SPLIT CIZ1 KO NPCs	20200204_nascent_Xist_dynamics_CIZ1KO_NPC_20min_03_FUS_SIR_THR_MCF_ALN-full.tif			"fused, reconstructed, thresholded, filtered, aligned"	"405: DAPI signal, 488: RNA-SPLIT signal (first HaloTag labelling round), 594: RNA-SPLIT signal (second HaloTag labelling round)"		
RNA-SPLIT CIZ1 KO NPCs	mus musculus 			XX mouse CIZ1 KO NPCs	na		TC NPC differentiation protocol	RNA-SPLIT to assess transcription dynamics (t20)	3D SIM OMX V3	RNA-SPLIT	Bgl-stem-loop labeling of Xist RNA with BglG-Halo	MGP_129S1SvImJ_G0007554; MGP_129S1SvImJ_G0025603	Xist; Ciz1		RNA-SPLIT CIZ1 KO NPCs	20200204_nascent_Xist_dynamics_CIZ1KO_NPC_20min_04_FUS.dv			"raw, fused"	"405: DAPI signal, 488: RNA-SPLIT signal (first HaloTag labelling round), 594: RNA-SPLIT signal (second HaloTag labelling round)"		
RNA-SPLIT CIZ1 KO NPCs	mus musculus 			XX mouse CIZ1 KO NPCs	na		TC NPC differentiation protocol	RNA-SPLIT to assess transcription dynamics (t20)	3D SIM OMX V3	RNA-SPLIT	Bgl-stem-loop labeling of Xist RNA with BglG-Halo	MGP_129S1SvImJ_G0007554; MGP_129S1SvImJ_G0025603	Xist; Ciz1		RNA-SPLIT CIZ1 KO NPCs	20200204_nascent_Xist_dynamics_CIZ1KO_NPC_20min_04_FUS_SIR_THR_MCF_ALN-full.tif			"fused, reconstructed, thresholded, filtered, aligned"	"405: DAPI signal, 488: RNA-SPLIT signal (first HaloTag labelling round), 594: RNA-SPLIT signal (second HaloTag labelling round)"		
RNA-SPLIT CIZ1 KO NPCs	mus musculus 			XX mouse CIZ1 KO NPCs	na		TC NPC differentiation protocol	RNA-SPLIT to assess transcription dynamics (t20)	3D SIM OMX V3	RNA-SPLIT	Bgl-stem-loop labeling of Xist RNA with BglG-Halo	MGP_129S1SvImJ_G0007554; MGP_129S1SvImJ_G0025603	Xist; Ciz1		RNA-SPLIT CIZ1 KO NPCs	20200204_nascent_Xist_dynamics_CIZ1KO_NPC_20min_05_FUS.dv			"raw, fused"	"405: DAPI signal, 488: RNA-SPLIT signal (first HaloTag labelling round), 594: RNA-SPLIT signal (second HaloTag labelling round)"		
